1058b	54,213665151	83,652098911	
1059a	54,276877978	83,534459030	
1059b	54,217187704	83,656854617	
1060a	54,280706986	83,538591827	
1060b	54,220709969	83,661611130	
1061a	54,284535748	83,542725546	
1061b	54,224232129	83,666368311	
1062a	54,288364451	83,546859892	
1062b	54,227754085	83,671126459	
1063a	54,292192998	83,550995164	
1063b	54,231275846	83,675885268	
1064a	54,295962203	83,555252605	
1064b	54,234797404	83,680645045	
1065a	54,299090845	83,560827188	
1065b	54,238318763	83,685405637	
1066a	54,302219222	83,566402462	
1066b	54,241839926	83,690166891	
1067a	54,305347330	83,571978582	
1067b	54,245360796	83,694929107	
1068a	54,308475077	83,577555695	
1068b	54,248881559	83,699691991	
1069a	54,311602647	83,583133506	
1069b	54,252402120	83,704455845	
1070a	54,314729949	83,588712163	
1070b	54,255922481	83,709220514	
1071a	54,317856978	83,594291819	
1071b	54,259442646	83,713985846	
1072a	54,320983742	83,599872168	
1072b	54,262962607	83,718752147	
1073a	54,324110236	83,605453363	
1073b	54,266482372	83,723519112	
1074a	54,327236458	83,611035557	
1074b	54,270001934	83,728287046	
1075a	54,330362413	83,616618445	
1075b	54,273521209	83,733055639	
1076a	54,333488010	83,622202174	
1076b	54,277040370	83,737825207	
1077a	54,336613423	83,627786909	
1077b	54,280559331	83,742595593	
1078a	54,339738570	83,633372338	
1078b	54,284078096	83,747366643	
1079a	54,342863448	83,638958614	
1079b	54,287596656	83,752138664	
1080a	54,345988052	83,644545890	
1080b	54,291115020	83,756911350	
1081a	54,349112390	83,650133861	
1081b	54,294633179	83,761685007	
1082a	54,352236457	83,655722679	
1082b	54,298151138	83,766459483	
1083a	54,355360252	83,661312498	
1083b	54,301668810	83,771234617	
1084a	54,358483689	83,666903006	
1084b	54,305186368	83,776010730	
1085a	54,361606947	83,672494368	
1085b	54,308703729	83,780787509	
1086a	54,364729930	83,678086732	
1086b	54,312220885	83,785565259	
1087a	54,367852647	83,683679791	
1087b	54,315737840	83,790343830	
