1046a	14661816,48	6014075,75	
1046b	14669495,94	6008144,92	
1047a	14662070,27	6014511,50	
1047b	14669791,34	6008548,54	
1048a	14662324,07	6014947,25	
1048b	14670086,74	6008952,16	
1049a	14662577,86	6015383,00	
1049b	14670382,13	6009355,78	
1050a	14662831,66	6015818,74	
1050b	14670677,53	6009759,40	
1051a	14663085,45	6016254,49	
1051b	14670972,92	6010163,02	
1052a	14663339,25	6016690,24	
1052b	14671268,32	6010566,63	
1053a	14663593,04	6017125,99	
1053b	14671563,71	6010970,25	
1054a	14663846,83	6017561,73	
1054b	14671859,11	6011373,87	
1055a	14664100,63	6017997,48	
1055b	14672154,51	6011777,49	
1056a	14664354,42	6018433,23	
1056b	14672449,90	6012181,11	
1057a	14664608,22	6018868,98	
1057b	14672745,30	6012584,73	
1058a	14664862,01	6019304,72	
1058b	14673040,69	6012988,35	
1059a	14665115,81	6019740,47	
1059b	14673336,09	6013391,97	
1060a	14665369,60	6020176,22	
1060b	14673631,49	6013795,58	
1061a	14665623,40	6020611,96	
1061b	14673926,88	6014199,20	
1062a	14665877,19	6021047,71	
1062b	14674222,28	6014602,82	
1063a	14666130,99	6021483,46	
1063b	14674517,67	6015006,44	
1064a	14666392,93	6021912,91	
1064b	14674813,07	6015410,06	
1065a	14666743,13	6022274,21	
1065b	14675108,47	6015813,68	
1066a	14667093,32	6022635,51	
1066b	14675403,86	6016217,30	
1067a	14667443,51	6022996,81	
1067b	14675699,26	6016620,91	
1068a	14667793,71	6023358,10	
1068b	14675994,65	6017024,53	
1069a	14668143,90	6023719,40	
1069b	14676290,05	6017428,15	
1070a	14668494,09	6024080,70	
1070b	14676585,45	6017831,77	
1071a	14668844,29	6024442,00	
1071b	14676880,84	6018235,39	
1072a	14669194,48	6024803,30	
1072b	14677176,24	6018639,01	
1073a	14669544,67	6025164,60	
1073b	14677471,63	6019042,63	
1074a	14669894,87	6025525,90	
1074b	14677767,03	6019446,25	
1075a	14670245,06	6025887,20	
1075b	14678062,42	6019849,86	
1076a	14670595,25	6026248,49	
1076b	14678357,82	6020253,48	
1077a	14670945,45	6026609,79	
1077b	14678653,22	6020657,10	
1078a	14671295,64	6026971,09	
1078b	14678948,61	6021060,72	
1079a	14671645,83	6027332,39	
1079b	14679244,01	6021464,34	
1080a	14671996,03	6027693,69	
1080b	14679539,40	6021867,96	
1081a	14672346,22	6028054,99	
1081b	14679834,80	6022271,58	
1082a	14672696,41	6028416,29	
1082b	14680130,20	6022675,20	
1083a	14673046,61	6028777,59	
1083b	14680425,59	6023078,81	
1084a	14673396,80	6029138,88	
1084b	14680720,99	6023482,43	
1085a	14673746,99	6029500,18	
1085b	14681016,38	6023886,05	
1086a	14674097,19	6029861,48	
1086b	14681311,78	6024289,67	
1087a	14674447,38	6030222,78	
1087b	14681607,18	6024693,29	
1088a	14674797,57	6030584,08	
1088b	14681902,57	6025096,91	
1089a	14675147,77	6030945,38	
1089b	14682197,97	6025500,53	
1090a	14675497,96	6031306,68	
1090b	14682493,36	6025904,15	
1091a	14675848,15	6031667,98	
1091b	14682788,76	6026307,76	
1092a	14676198,35	6032029,27	
1092b	14683084,15	6026711,38	
1093a	14676548,54	6032390,57	
1093b	14683379,55	6027115,00	
1094a	14677092,62	6032602,14	
1094b	14683674,95	6027518,62	
1095a	14679050,56	6031721,78	
1095b	14683970,34	6027922,24	
1096a	14681008,49	6030841,42	
1096b	14684265,74	6028325,86	
1097a	14682966,43	6029961,06	
1097b	14684561,13	6028729,48	
